Id;Name;LastUpdate
1;ADANA;2022-09-02 09:44:21.5516526
2;ADIYAMAN;2022-09-02 09:43:20.8553070
3;AFYONKARAHİSAR;2022-09-02 09:44:11.1968269
4;AĞRI;2022-09-02 09:43:51.8537285
68;AKSARAY;2022-09-02 09:44:04.0891964
5;AMASYA;2022-09-02 09:43:31.1271240
6;ANKARA;2022-09-02 09:43:56.3320349
7;ANTALYA;2022-09-02 09:44:04.7254885
75;ARDAHAN;2022-09-02 09:43:27.9743358
8;ARTVİN;2022-09-02 09:44:22.1792496
9;AYDIN;2022-09-02 09:44:13.1384677
10;BALIKESİR;2022-09-02 09:44:18.9904252
74;BARTIN;2022-09-02 09:43:36.9521432
72;BATMAN;2022-09-02 09:43:22.1202796
69;BAYBURT;2022-09-02 09:43:35.0487250
11;BİLECİK;2022-09-02 09:43:45.3772986
12;BİNGÖL;2022-09-02 09:43:38.2231998
13;BİTLİS;2022-09-02 09:43:35.6805701
14;BOLU;2022-09-02 09:43:47.9417282
15;BURDUR;2022-09-02 09:43:55.6892386
16;BURSA;2022-09-02 09:43:20.2156202
17;ÇANAKKALE;2022-09-02 09:43:18.1427887
18;ÇANKIRI;2022-09-02 09:43:57.6169371
19;ÇORUM;2022-09-02 09:44:18.3612517
20;DENİZLİ;2022-09-02 09:43:36.3136260
21;DİYARBAKIR;2022-09-02 09:44:17.1033953
81;DÜZCE;2022-09-02 09:44:13.8446791
22;EDİRNE;2022-09-02 09:44:20.2722408
23;ELAZIĞ;2022-09-02 09:44:11.8603821
24;ERZİNCAN;2022-09-02 09:44:02.8192547
25;ERZURUM;2022-09-02 09:44:02.1841448
26;ESKİŞEHİR;2022-09-02 09:43:56.9656138
27;GAZİANTEP;2022-09-02 09:44:10.5656811
28;GİRESUN;2022-09-02 09:44:09.2918384
29;GÜMÜŞHANE;2022-09-02 09:43:44.1148408
30;HAKKARİ;2022-09-02 09:44:03.4523219
31;HATAY;2022-09-02 09:44:19.6301848
76;IĞDIR;2022-09-02 09:44:14.4789143
32;ISPARTA;2022-09-02 09:43:27.3427458
34;İSTANBUL;2022-09-02 09:44:25.4419071
35;İZMİR;2022-09-02 09:44:06.0104452
46;KAHRAMANMARAŞ;2022-09-02 09:43:23.3699721
78;KARABÜK;2022-09-02 09:43:26.7106422
70;KARAMAN;2022-09-02 09:43:29.2454914
36;KARS;2022-09-02 09:44:12.4964342
37;KASTAMONU;2022-09-02 09:43:47.2901906
38;KAYSERİ;2022-09-02 09:44:09.9344895
79;KİLİS;2022-09-02 09:44:17.7352426
71;KIRIKKALE;2022-09-02 09:43:30.4964954
39;KIRKLARELİ;2022-09-02 09:43:21.4967172
40;KIRŞEHİR;2022-09-02 09:43:40.7398034
41;KOCAELİ;2022-09-02 09:44:00.8819093
42;KONYA;2022-09-02 09:43:43.4708321
43;KÜTAHYA;2022-09-02 09:43:46.6424417
44;MALATYA;2022-09-02 09:44:22.8079646
45;MANİSA;2022-09-02 09:43:53.1161472
47;MARDİN;2022-09-02 09:43:28.5980047
33;MERSİN;2022-09-02 09:43:52.4847154
48;MUĞLA;2022-09-02 09:44:20.9126637
49;MUŞ;2022-09-02 09:43:53.7632081
50;NEVŞEHİR;2022-09-02 09:43:31.7692422
51;NİĞDE;2022-09-02 09:43:32.4273802
52;ORDU;2022-09-02 09:44:08.6629038
80;OSMANİYE;2022-09-02 09:43:55.0474626
53;RİZE;2022-09-02 09:43:29.8747481
54;SAKARYA;2022-09-02 09:43:54.3964637
55;SAMSUN;2022-09-02 09:43:48.5741139
63;ŞANLIURFA;2022-09-02 09:43:44.7453546
56;SİİRT;2022-09-02 09:43:49.2127415
57;SİNOP;2022-09-02 09:43:38.8415820
73;ŞIRNAK;2022-09-02 09:43:46.0078566
58;SİVAS;2022-09-02 09:43:22.7385377
59;TEKİRDAĞ;2022-09-02 09:43:39.4742093
60;TOKAT;2022-09-02 09:44:00.2506201
61;TRABZON;2022-09-02 09:43:24.0708828
62;TUNCELİ;2022-09-02 09:43:37.5864294
64;UŞAK;2022-09-02 09:44:05.3748175
65;VAN;2022-09-02 09:43:40.1091321
77;YALOVA;2022-09-02 09:43:18.9372104
66;YOZGAT;2022-09-02 09:44:01.5500775
67;ZONGULDAK;2022-09-02 09:43:19.5742662
